,region,wri_category,vulnerability_category,susceptibility_category,wri,exposure,vulnerability,susceptibility,lack_of_coping_capabilities,lack_of_adaptive_capacities,year,exposure_Sklearn,vulnerability_categorymap,susceptibility_categorymap,wri_categorymap
0,vanuatu,Very High,High,High,1.6406751871646796,56.33,0.8012525867378264,0.7927082417314734,0.5415563239102934,0.9262423088436044,2011.0,0.5637583892617449,4,4,5
1,tonga,Very High,Medium,Medium,1.2925697980405444,56.04,0.3764592288482913,0.0305277472364494,0.707654887161164,0.1857358153666768,2011.0,0.560853450866473,3,3,5
2,philippines,Very High,High,High,0.7251103280984613,45.09,0.5520866252873455,0.5928682340285099,0.773824233496877,0.1066605947061817,2011.0,0.4511669838725834,4,4,5
3,solomon islands,Very High,Very High,High,0.6285468468688212,36.4,1.475211906077841,1.4405616620522437,0.9878618129705604,1.7318211193223976,2011.0,0.3641190023039166,5,4,5
4,guatemala,Very High,High,High,0.3150135683083841,38.42,0.5884233279988741,0.6272593051215778,0.4396015147603682,0.5893489208212868,2011.0,0.3843534007813282,4,4,5
5,bangladesh,Very High,Very High,High,-0.093891049738117,27.52,1.372257915061844,1.5195681767255085,1.024322473196361,1.3224421123612933,2011.0,0.2751677852348993,5,4,5
6,east timor,Very High,Very High,Very High,-0.093891049738117,25.97,1.6975579202888609,2.212966529034396,1.2046001820905992,1.4179913373260578,2011.0,0.2596413903636181,5,5,5
7,costa rica,Very High,Low,Low,-0.1785331135319993,42.39,-0.6963386607301668,-0.6182551614922417,-0.5353835475740126,-0.7887015392308815,2011.0,0.4241210057097065,2,2,5
8,cambodia,Very High,High,High,-0.1976073814292122,26.66,1.2658432856923685,1.8281583281552007,1.0202712887268284,0.7491467625727042,2011.0,0.2665531403385756,4,4,5
9,el salvador,Very High,Medium,Medium,-0.2083366571213944,32.18,0.3193586960158898,0.1801753809116919,0.2721525566863191,0.4204903767025215,2011.0,0.3218471401382349,3,3,5
10,nicaragua,Very High,High,High,-0.2977472878895796,27.64,0.8124996613866324,1.1728690005710642,0.7886785765518329,0.3191752502312626,2011.0,0.2763698287088049,4,4,5
11,brunei darussalam,Very High,Low,Very Low,-0.4956428173231633,36.28,-0.7543043531509386,-1.406461331409047,-0.3551058386797744,-0.4765191576649689,2011.0,0.362916958830011,2,1,5
