,region,exposure_category,wri_category,vulnerability_category,susceptibility_category,wri,exposure,vulnerability,susceptibility,lack_of_coping_capabilities,lack_of_adaptive_capacities,year
0,vanuatu,Very High,Very High,High,High,32.0,56.33,56.81,37.14,79.34,53.96,2011.0
1,tonga,Very High,Very High,Medium,Medium,29.08,56.04,51.9,28.94,81.8,44.97,2011.0
2,philippines,Very High,Very High,High,High,24.32,45.09,53.93,34.99,82.78,44.01,2011.0
3,solomon islands,Very High,Very High,Very High,High,23.51,36.4,64.6,44.11,85.95,63.74,2011.0
4,guatemala,Very High,Very High,High,High,20.88,38.42,54.35,35.36,77.83,49.87,2011.0
5,bangladesh,Very High,Very High,Very High,High,17.45,27.52,63.41,44.96,86.49,58.77,2011.0
6,east timor,Very High,Very High,Very High,Very High,17.45,25.97,67.17,52.42,89.16,59.93,2011.0
7,costa rica,Very High,Very High,Low,Low,16.74,42.39,39.5,21.96,63.39,33.14,2011.0
8,cambodia,Very High,Very High,High,High,16.58,26.66,62.18,48.28,86.43,51.81,2011.0
9,el salvador,Very High,Very High,Medium,Medium,16.49,32.18,51.24,30.55,75.35,47.82,2011.0
10,nicaragua,Very High,Very High,High,High,15.74,27.64,56.94,41.23,83.0,46.59,2011.0
11,brunei darussalam,Very High,Very High,Low,Very Low,14.08,36.28,38.83,13.48,66.06,36.93,2011.0
12,jamaica,Very High,Very High,Medium,Medium,12.89,28.11,45.85,26.32,71.39,39.83,2011.0
13,chile,Very High,Very High,Low,Low,11.97,31.25,38.31,21.86,55.89,37.19,2011.0
14,mauritius,Very High,Very High,Low,Low,11.91,29.59,40.24,19.57,60.08,41.08,2011.0
15,japan,Very High,High,Very Low,Very Low,11.13,39.57,28.13,16.3,36.66,31.44,2011.0
16,netherlands,Very High,Medium,Very Low,Very Low,7.71,29.24,26.37,13.99,38.71,26.42,2011.0
17,katar,Very Low,Very Low,Very Low,Very Low,0.02,0.05,33.18,9.4,52.12,38.03,2011.0
18,vanuatu,Very High,Very High,High,High,36.43,63.66,57.23,34.66,81.27,55.77,2013.0
19,tonga,Very High,Very High,Medium,Medium,28.23,55.27,51.07,27.72,80.56,44.94,2013.0
20,philippines,Very High,Very High,Medium,High,27.52,52.46,52.46,33.74,80.47,43.16,2013.0
21,guatemala,Very High,Very High,High,High,20.88,36.3,57.53,38.57,80.8,53.21,2013.0
22,bangladesh,Very High,Very High,High,High,19.81,31.7,62.5,40.92,86.23,60.34,2013.0
23,solomon islands,Very High,Very High,High,High,18.11,29.98,60.4,43.96,84.15,53.09,2013.0
24,costa rica,Very High,Very High,Low,Low,16.94,42.61,39.75,21.58,64.1,33.58,2013.0
25,cambodia,Very High,Very High,High,High,16.9,27.65,61.12,43.47,86.6,53.28,2013.0
26,el salvador,Very High,Very High,Medium,Medium,16.85,32.6,51.69,29.5,75.69,49.88,2013.0
27,brunei darussalam,Very High,Very High,Low,Very Low,15.8,41.1,38.44,14.48,64.69,36.15,2013.0
28,mauritius,Very High,Very High,Low,Low,15.18,37.35,40.64,18.96,60.61,42.35,2013.0
29,nicaragua,Very High,Very High,High,High,14.89,27.23,54.69,37.09,81.32,45.65,2013.0
30,japan,Very High,Very High,Very Low,Low,14.1,45.91,30.71,16.84,40.08,35.22,2013.0
31,fiji,Very High,Very High,Medium,Medium,13.56,27.71,48.93,26.14,75.3,45.35,2013.0
32,chile,Very High,Very High,Low,Low,12.28,30.95,39.66,20.71,58.65,39.63,2013.0
33,netherlands,Very High,High,Very Low,Very Low,8.76,30.57,28.67,14.03,42.16,29.82,2013.0
34,katar,Very Low,Very Low,Very Low,Very Low,0.1,0.28,36.46,9.5,56.15,43.73,2013.0
35,vanuatu,Very High,Very High,High,High,36.72,63.66,57.68,35.69,81.16,56.2,2015.0
36,tonga,Very High,Very High,Medium,Medium,28.45,55.27,51.47,28.78,81.8,43.82,2015.0
37,philippines,Very High,Very High,High,High,27.98,52.46,53.33,32.0,80.06,47.94,2015.0
38,guatemala,Very High,Very High,High,High,20.1,36.3,55.36,34.52,80.08,51.48,2015.0
39,solomon islands,Very High,Very High,Very High,High,19.29,29.98,64.34,44.55,85.66,62.82,2015.0
40,bangladesh,Very High,Very High,High,High,19.26,31.7,60.76,39.05,86.55,56.69,2015.0
41,costa rica,Very High,Very High,Low,Medium,17.17,42.61,40.29,21.6,64.34,34.94,2015.0
42,cambodia,Very High,Very High,High,High,16.82,27.65,60.84,39.5,86.95,56.07,2015.0
43,el salvador,Very High,Very High,Medium,High,16.8,32.6,51.53,29.83,74.9,49.85,2015.0
44,brunei darussalam,Very High,Very High,Low,Low,16.15,41.1,39.28,17.76,63.28,36.8,2015.0
45,mauritius,Very High,Very High,Low,Low,14.66,37.35,39.25,18.24,61.53,37.98,2015.0
46,nicaragua,Very High,Very High,High,High,14.63,27.23,53.75,37.03,80.37,43.85,2015.0
47,fiji,Very High,Very High,Medium,Medium,13.47,27.71,48.63,24.84,75.1,45.93,2015.0
48,japan,Very High,Very High,Very Low,Low,13.35,45.91,29.08,17.64,37.88,31.72,2015.0
49,chile,Very High,Very High,Low,Low,11.2,30.95,36.19,19.69,58.03,30.84,2015.0
50,netherlands,Very High,High,Very Low,Very Low,8.29,30.57,27.12,15.09,42.47,23.8,2015.0
51,katar,Very Low,Very Low,Very Low,Very Low,0.08,0.28,30.13,9.04,44.88,36.47,2015.0
52,vanuatu,Very High,Very High,High,High,36.5,63.66,57.34,36.4,81.16,54.45,2014.0
53,philippines,Very High,Very High,High,High,28.25,52.46,53.85,33.35,80.03,48.17,2014.0
54,tonga,Very High,Very High,Medium,Medium,28.23,55.27,51.08,29.15,81.8,42.28,2014.0
55,guatemala,Very High,Very High,High,High,20.68,36.3,56.98,37.92,80.84,52.19,2014.0
56,bangladesh,Very High,Very High,High,High,19.37,31.7,61.1,40.28,86.05,56.96,2014.0
57,solomon islands,Very High,Very High,Very High,High,19.18,29.98,63.98,45.37,85.44,61.12,2014.0
58,costa rica,Very High,Very High,Low,Medium,17.33,42.61,40.68,22.98,64.61,34.46,2014.0
59,el salvador,Very High,Very High,High,High,17.12,32.6,52.52,32.1,75.35,50.13,2014.0
60,cambodia,Very High,Very High,High,High,17.12,27.65,61.9,41.99,86.96,56.74,2014.0
61,brunei darussalam,Very High,Very High,Low,Low,16.23,41.1,39.48,17.97,63.08,37.4,2014.0
62,nicaragua,Very High,Very High,High,High,14.87,27.23,54.63,37.79,81.7,44.41,2014.0
63,mauritius,Very High,Very High,Low,Low,14.78,37.35,39.56,18.94,61.68,38.07,2014.0
64,fiji,Very High,Very High,Medium,Medium,13.65,27.71,49.28,25.33,75.43,47.08,2014.0
65,japan,Very High,Very High,Very Low,Low,13.38,45.91,29.14,17.55,38.28,31.58,2014.0
66,chile,Very High,Very High,Low,Low,11.3,30.95,36.53,20.22,58.54,30.82,2014.0
67,netherlands,Very High,High,Very Low,Very Low,8.25,30.57,26.98,14.84,42.15,23.96,2014.0
68,qatar,Very Low,Very Low,Very Low,Very Low,0.08,0.28,30.3,8.97,44.76,37.16,2014.0
69,vanuatu,Very High,Very High,High,High,47.73,82.55,57.82,39.66,81.21,52.59,2021.0
70,solomon islands,Very High,Very High,High,Very High,31.16,51.13,60.95,46.07,81.14,55.63,2021.0
71,tonga,Very High,Very High,Medium,High,30.51,63.63,47.95,28.42,79.81,35.62,2021.0
72,dominica,Very High,Very High,Medium,Medium,27.42,61.74,44.41,23.42,71.13,38.67,2021.0
73,antigua and barbuda,Very High,Very High,Low,Medium,27.28,67.73,40.28,23.8,64.41,32.62,2021.0
74,brunei darussalam,Very High,Very High,Low,Very Low,22.77,58.17,39.14,15.33,68.13,33.96,2021.0
75,guyana,Very High,Very High,High,Medium,21.83,43.93,49.69,25.96,77.23,45.88,2021.0
76,philippines,Very High,Very High,High,High,21.39,42.68,50.11,28.63,82.14,39.56,2021.0
77,papua new guinea,Very High,Very High,Very High,Very High,20.9,30.62,68.27,55.28,86.16,63.37,2021.0
78,guatemala,Very High,Very High,High,High,20.23,36.79,54.98,32.55,85.66,46.72,2021.0
79,cape verde,Very High,Very High,Medium,High,17.72,37.23,47.59,28.86,72.71,41.21,2021.0
80,costa rica,Very High,Very High,Low,Low,17.06,44.27,38.54,19.96,65.33,30.34,2021.0
81,bangladesh,Very High,Very High,High,High,16.23,28.11,57.74,32.57,85.57,55.07,2021.0
82,fiji,Very High,Very High,Medium,Medium,16.06,34.51,46.55,22.06,76.63,40.95,2021.0
83,cambodia,Very High,Very High,High,High,15.8,26.89,58.76,38.89,86.61,50.79,2021.0
84,east timor,Very High,Very High,High,High,15.75,28.27,55.73,41.83,75.72,49.64,2021.0
85,el salvador,Very High,Very High,High,Medium,15.32,31.62,48.46,24.31,78.66,42.41,2021.0
86,kiribati,Very High,Very High,High,High,15.14,26.41,57.34,39.67,82.82,49.52,2021.0
87,nicaragua,Very High,Very High,High,High,14.12,26.02,54.25,32.27,83.29,47.19,2021.0
88,uruguay,Very High,Very High,Low,Low,12.53,35.97,34.83,19.22,54.25,31.01,2021.0
89,jamaica,Very High,Very High,Medium,Medium,12.02,25.92,46.37,24.92,74.52,39.67,2021.0
90,chile,Very High,Very High,Low,Low,11.32,32.51,34.83,17.79,59.44,27.25,2021.0
91,japan,Very High,High,Very Low,Low,9.66,38.51,25.09,17.92,39.42,17.94,2021.0
92,netherlands,Very High,High,Very Low,Very Low,7.98,31.75,25.13,14.66,44.34,16.4,2021.0
93,vanuatu,Very High,Very High,High,High,36.45,63.66,57.26,35.16,81.19,55.42,2017.0
94,tonga,Very High,Very High,Medium,Medium,28.57,55.27,51.7,28.45,81.45,45.18,2017.0
95,philippines,Very High,Very High,High,High,27.69,52.46,52.78,32.97,80.92,44.45,2017.0
96,guatemala,Very High,Very High,High,High,20.46,36.3,56.36,36.82,80.78,51.48,2017.0
97,bangladesh,Very High,Very High,High,High,19.57,31.7,61.72,40.39,86.41,58.37,2017.0
98,solomon islands,Very High,Very High,High,High,18.77,29.98,62.62,44.37,85.01,58.47,2017.0
99,costa rica,Very High,Very High,Low,Medium,17.16,42.61,40.28,21.81,64.49,34.55,2017.0
100,cambodia,Very High,Very High,High,High,16.92,27.65,61.18,41.69,86.81,55.04,2017.0
101,el salvador,Very High,Very High,Medium,Medium,16.74,32.6,51.36,29.64,75.49,48.96,2017.0
102,brunei darussalam,Very High,Very High,Low,Very Low,16.22,41.1,39.46,16.44,63.97,37.96,2017.0
103,mauritius,Very High,Very High,Low,Low,15.11,37.35,40.45,18.63,61.49,41.23,2017.0
104,nicaragua,Very High,Very High,High,High,14.88,27.23,54.64,36.8,81.35,45.76,2017.0
105,fiji,Very High,Very High,Medium,Medium,13.5,27.71,48.74,25.34,75.17,45.72,2017.0
106,japan,Very High,Very High,Very Low,Low,13.47,45.91,29.33,17.27,38.12,32.61,2017.0
107,chile,Very High,Very High,Low,Low,11.74,30.95,37.93,20.25,58.34,35.2,2017.0
108,netherlands,Very High,High,Very Low,Very Low,8.41,30.57,27.49,14.66,41.43,26.4,2017.0
109,katar,Very Low,Very Low,Very Low,Very Low,0.09,0.28,32.25,9.36,49.03,38.36,2017.0
