,region,exposure_category,wri_category,vulnerability_category,susceptibility_category,wri,exposure,vulnerability,susceptibility,lack_of_coping_capabilities,lack_of_adaptive_capacities,year,exposure_Sklearn
0,vanuatu,Very High,Very High,High,High,1.6406751871646796,56.33,0.8012525867378264,0.7927082417314734,0.5415563239102934,0.9262423088436044,2011.0,0.5637583892617449
1,tonga,Very High,Very High,Medium,Medium,1.2925697980405444,56.04,0.37645922884829136,0.03052774723644946,0.707654887161164,0.18573581536667683,2011.0,0.560853450866473
2,philippines,Very High,Very High,High,High,0.7251103280984613,45.09,0.5520866252873455,0.5928682340285099,0.773824233496877,0.10666059470618174,2011.0,0.4511669838725834
3,solomon islands,Very High,Very High,Very High,High,0.6285468468688212,36.4,1.475211906077841,1.4405616620522437,0.9878618129705605,1.7318211193223976,2011.0,0.3641190023039166
4,guatemala,Very High,Very High,High,High,0.3150135683083841,38.42,0.5884233279988741,0.6272593051215778,0.4396015147603682,0.5893489208212868,2011.0,0.3843534007813282
5,bangladesh,Very High,Very High,Very High,High,-0.09389104973811703,27.52,1.3722579150618441,1.5195681767255085,1.024322473196361,1.3224421123612933,2011.0,0.2751677852348993
6,east timor,Very High,Very High,Very High,Very High,-0.09389104973811703,25.97,1.6975579202888609,2.212966529034396,1.2046001820905992,1.4179913373260578,2011.0,0.2596413903636181
7,costa rica,Very High,Very High,Low,Low,-0.1785331135319993,42.39,-0.6963386607301668,-0.6182551614922417,-0.5353835475740126,-0.7887015392308815,2011.0,0.4241210057097065
8,cambodia,Very High,Very High,High,High,-0.19760738142921222,26.66,1.2658432856923683,1.8281583281552012,1.0202712887268284,0.7491467625727042,2011.0,0.2665531403385756
9,el salvador,Very High,Very High,Medium,Medium,-0.20833665712139443,32.18,0.31935869601588984,0.1801753809116919,0.2721525566863191,0.42049037670252154,2011.0,0.3218471401382349
10,nicaragua,Very High,Very High,High,High,-0.2977472878895796,27.64,0.8124996613866324,1.1728690005710642,0.7886785765518329,0.3191752502312626,2011.0,0.2763698287088049
11,brunei darussalam,Very High,Very High,Low,Very Low,-0.4956428173231633,36.28,-0.7543043531509386,-1.406461331409047,-0.35510583867977447,-0.47651915766496894,2011.0,0.362916958830011
12,jamaica,Very High,Very High,Medium,Medium,-0.637507684808684,28.11,-0.14696232211539167,-0.21299821563878998,0.004774381697112561,-0.237646095253057,2011.0,0.2810778323149354
13,chile,Very High,Very High,Low,Low,-0.7471847252176581,31.25,-0.7992926517461638,-0.6275500455714494,-1.0417816062656924,-0.45510295206941836,2011.0,0.3125313032154663
14,mauritius,Very High,Very High,Low,Low,-0.7543375756791131,29.59,-0.632316851190807,-0.8404028909853036,-0.7588738908099408,-0.13468356835137077,2011.0,0.2959030351597715
15,japan,Very High,High,Very Low,Very Low,-0.8473246316780257,39.57,-1.6800251127065435,-1.1443456003753925,-2.34018622875116,-0.9287305758171748,2011.0,0.3958729840729239
16,netherlands,Very High,Medium,Very Low,Very Low,-1.255037107980951,29.24,-1.832293200259615,-1.3590574226050882,-2.201770759375434,-1.3422280838543466,2011.0,0.2923970750275468
17,katar,Very Low,Very Low,Very Low,Very Low,-2.1717941087907455,0.05,-1.2431195205798327,-1.7856926018407175,-1.2963310304347104,-0.38591213399148494,2011.0,0.0
18,vanuatu,Very High,Very High,High,High,2.168793979568761,63.66,0.8375892894493543,0.5621951165671243,0.6718694243469518,1.0753320477972463,2013.0,0.6371832114594811
19,tonga,Very High,Very High,Medium,Medium,1.1912377498366011,55.27,0.3046509830136044,-0.0828698385298836,0.6239304081241399,0.18326471472103628,2013.0,0.5531403385755785
20,philippines,Very High,Very High,Medium,High,1.1065956860427189,52.46,0.42490816579699614,0.47668218303841475,0.6178536314198395,0.03664607641303498,2013.0,0.5249924872282881
21,guatemala,Very High,Very High,High,High,0.3150135683083841,36.3,0.8635440771004464,0.9256250840641421,0.6401351460022733,0.8644647927025927,2013.0,0.3631172994089952
22,bangladesh,Very High,Very High,High,High,0.18745440174577294,31.7,1.2935283925201995,1.1440548599255211,1.00676734049505,1.4517630461498112,2013.0,0.3170389662426124
23,solomon islands,Very High,Very High,High,High,-0.015209694662113875,29.98,1.1118448789625572,1.4266193359334323,0.8663262788845576,0.854580390120031,2013.0,0.2998096764499649
